Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,185,409,
gidA CDS,Sant_0001,forward,535,"2,424",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,442","3,065",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,706","4,092",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,101","4,920",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,970","5,209",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,267","5,737",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,752","6,285",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,298","7,839",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,890","8,753",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,786","10,171",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,194","10,616",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,901","12,277",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,426","14,258",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,428","15,621",hypothetical protein
pstS CDS,Sant_0015,forward,"15,797","16,837","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,884","17,843",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,843","18,736",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,775","19,551",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,566","20,303",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,647","21,330",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,238","22,673",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,688","23,581","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,817","24,584",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,599","25,081",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,078","26,283",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,341","27,114",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,257","29,462",hypothetical protein
proP CDS,Sant_0028,forward,"29,582","31,084",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,310","32,599",Arsenite/antimonite transporter
