Name,locus_tag,Direction,Min (with gaps),Max (with gaps),product
rep origin,,reverse,195,419,
gidA CDS,Sant_0001,forward,545,"2,435",TRNA uridine 5-carboxymethylaminomethyl modification enzyme
gidB CDS,Sant_0002,forward,"2,453","3,079",Ribosomal RNA small subunit methyltransferase G
atpI CDS,Sant_0003,forward,"3,716","4,098",F0F1 ATP synthase subunit I
atpB CDS,Sant_0004,forward,"4,107","4,925",F0F1 ATP synthase subunit A
atpE CDS,Sant_0005,forward,"4,975","5,214",F0F1 ATP synthase subunit C
atpF CDS,Sant_0006,forward,"5,273","5,744",F0F1 ATP synthase subunit B
atpH CDS,Sant_0007,forward,"5,759","6,293",F0F1 ATP synthase subunit delta
atpA CDS,Sant_0008,forward,"6,306","7,847",F0F1 ATP synthase subunit alpha
atpG CDS,Sant_0009,forward,"7,898","8,761",F0F1 ATP synthase subunit gamma
atpD CDS,Sant_0010,forward,"8,794","10,176",F0F1 ATP synthase subunit beta
atpC CDS,Sant_0011,forward,"10,197","10,619",F0F1 ATP synthase subunit epsilon
glmU CDS,Sant_0012,forward,"10,911","12,287",Bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
glmS CDS,Sant_0013,forward,"12,437","14,269",Glucosamine-fructose-6-phosphate aminotransferase
hypothetical protein CDS,Sant_0014,forward,"14,440","15,633",hypothetical protein
pstS CDS,Sant_0015,forward,"15,809","16,849","Phosphate ABC transporter, periplasmic phosphate-binding protein"
pstC CDS,Sant_0016,forward,"16,896","17,855",Phosphate transporter permease subunit
pstA CDS,Sant_0017,forward,"17,855","18,748",Phosphate transporter permease subunit
pstB CDS,Sant_0018,forward,"18,787","19,563",Phosphate transporter ATP-binding protein
phoU CDS,Sant_0019,forward,"19,578","20,315",Phosphate uptake regulator
6-phosphogluconate phosphatase CDS,Sant_0020,reverse,"20,659","21,342",6-phosphogluconate phosphatase
N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component CDS,Sant_0021,reverse,"22,250","22,684",N-acetyl-galactosamine/galactosamine PTS system enzyme IIA component
agaE CDS,Sant_0022,reverse,"22,698","23,591","PTS system, N-acetylgalactosamine-specific IID component"
agaW CDS,Sant_0023,reverse,"23,827","24,594",PTS system N-acetylgalactosameine-specific IIC component
agaV CDS,Sant_0024,reverse,"24,609","25,091",N-acetylgalactosamine-specific enzyme IIB component of PTS
agaS1 CDS,Sant_0025,reverse,"25,088","26,287",Tagatose-6-phosphate ketose/aldose isomerase
agaR CDS,Sant_0026,reverse,"26,345","27,118",Aga operon transcriptional repressor of sugar metabolism
hypothetical protein CDS,Sant_0027,forward,"28,261","29,466",hypothetical protein
proP CDS,Sant_0028,forward,"29,586","31,088",Proline/glycine betaine transporter
arsB CDS,Sant_0029,forward,"31,314","32,603",Arsenite/antimonite transporter
Permease of the major facilitator superfamily CDS,Sant_0030,forward,"32,931","34,298",Permease of the major facilitator superfamily
Cyclase family protein CDS,Sant_0031,forward,"34,300","35,001",Cyclase family protein
Starvation sensing zinc-binding dehydrogenase CDS,Sant_0032,forward,"35,368","36,378",Starvation sensing zinc-binding dehydrogenase
Major facilitator transporter CDS,Sant_0033,forward,"36,443","37,729",Major facilitator transporter
Mannitol dehydrogenase domain protein CDS,Sant_0034,forward,"37,779","39,251",Mannitol dehydrogenase domain protein
"Transcriptional regulator, GntR family CDS",Sant_0035,forward,"39,660","40,346","Transcriptional regulator, GntR family"
hypothetical protein CDS,Sant_0036,forward,"42,436","43,194",hypothetical protein
"Transcriptional regulator, AraC family CDS",Sant_0037,reverse,"43,300","44,289","Transcriptional regulator, AraC family"
Putative Mucin-2 like methyltransferase CDS,Sant_0038,forward,"46,514","47,497",Putative Mucin-2 like methyltransferase
hypothetical protein CDS,Sant_0039,forward,"47,505","47,885",hypothetical protein
Putative histidinol-phosphate aminotransferase CDS,Sant_0040,forward,"47,882","48,934",Putative histidinol-phosphate aminotransferase
MATE efflux family protein CDS,Sant_0041,forward,"48,936","50,249",MATE efflux family protein
Putative amino acid ligase of ATP-grasp superfamily CDS,Sant_0042,forward,"50,291","51,535",Putative amino acid ligase of ATP-grasp superfamily
Alpha/beta hydrolase fold protein CDS,Sant_0043,reverse,"51,699","52,604",Alpha/beta hydrolase fold protein
"Transcriptional regulator, MerR family protein CDS",Sant_0044,forward,"52,694","53,077","Transcriptional regulator, MerR family protein"
HxlR family transcriptional regulator CDS,Sant_0045,forward,"53,214","53,741",HxlR family transcriptional regulator
3-oxoacyl-(acyl carrier protein) synthase II CDS,Sant_0046,forward,"53,738","55,009",3-oxoacyl-(acyl carrier protein) synthase II
manR CDS,Sant_0047,forward,"55,581","57,629",PTS modulated transcriptional antiterminator
"Phosphocarrier, HPr family CDS",Sant_0048,forward,"57,644","57,901","Phosphocarrier, HPr family"
"PTS system, fructose specific enzyme IIA component CDS",Sant_0049,forward,"57,944","58,390","PTS system, fructose specific enzyme IIA component"
